"ID","Epic","Feature","User Story 1","User Story 2","Priority","Owner","Best (min)","Optimal (min)","Worst (min)"
"PBI-001","E1","Account registration","As a new user, I can create an account.","As a new user, I can choose my role during sign-up.","Must","apps/web-frontend + identity-consent-service",480,720,1080
"PBI-002","E1","Secure sign-in","As a user, I can log in with valid credentials.","As a user, I get clear error messages for failed login.","Must","apps/web-frontend + identity-consent-service",480,720,1080
"PBI-003","E1","Session control","As a user, I stay logged in safely while active.","As a user, I can log out from any page.","Must","apps/web-frontend",360,540,840
"PBI-004","E2","Consent preferences","As a data subject, I can select what data can be shared.","As a data subject, I can set how long sharing is allowed.","Must","apps/identity-consent-service",600,900,1320
"PBI-005","E2","Access permission checks","As an admin, I can enforce role-based access.","As an admin, I can enforce purpose-based access checks.","Must","apps/identity-consent-service",720,1080,1560
"PBI-006","E2","Consent cancellation","As a privacy officer, I can revoke consent immediately.","As a privacy officer, I can block new access after revocation.","Must","apps/identity-consent-service + apps/integration-service",720,1080,1680
"PBI-007","E3","Combined profile page","As a clinician, I can view clinical and work context together.","As an HR manager, I can view the same profile with allowed fields.","Must","apps/profile-case-service",720,1080,1560
"PBI-008","E3","Case status tracking","As a coordinator, I can create a case record.","As a coordinator, I can move a case from intake to closure.","Must","apps/profile-case-service",900,1320,1920
"PBI-009","E3","Case event timeline","As a user, I can view key events in time order.","As a user, I can filter timeline events by type.","Should","apps/profile-case-service + apps/web-frontend",720,1080,1680
"PBI-010","E4","Screening form submission","As an employee, I can submit screening answers.","As an employee, I can receive risk and severity results.","Must","apps/ai-screening-service",720,1080,1560
"PBI-011","E4","Clinician confirmation labels","As a clinician, I can submit confirmed labels.","As a clinician, I can override AI results with a reason.","Must","apps/ai-screening-service",600,900,1320
"PBI-012","E4","Pilot data export","As governance staff, I can export screening data.","As governance staff, I can export clinician label data in one file.","Must","apps/ai-screening-service",480,720,1080
"PBI-013","E4","Threshold adjustment","As calibration staff, I can change model thresholds.","As calibration staff, I can enforce minimum specificity rules.","Should","apps/ai-screening-service",600,900,1440
"PBI-014","E5","Accommodation planning","As an HR manager, I can create an accommodation plan.","As an HR manager, I can link plan items to clinical needs.","Must","apps/profile-case-service",720,1080,1560
"PBI-015","E5","Role requirement mapping","As HR, I can map job demands to cognitive requirements.","As HR, I can use this map for role-fit checks.","Must","apps/profile-case-service",720,1080,1560
"PBI-016","E5","Accommodation adherence view","As a manager, I can track accommodation usage.","As a manager, I can review effectiveness over time.","Should","apps/profile-case-service",600,900,1440
"PBI-017","E6","Cross-service workflow engine","As the platform, I can run workflow steps across services.","As the platform, I can track each step status.","Must","apps/integration-service",900,1320,1980
"PBI-018","E6","Unified recommendation request","As a coordinator, I can request recommendations from clinical inputs.","As a coordinator, I can include HR inputs in the same request.","Must","apps/integration-service",840,1260,1860
"PBI-019","E6","Recommendation conflict alerts","As a coordinator, I can detect conflicts between recommendations.","As a coordinator, I can see conflict details clearly.","Must","apps/integration-service",720,1080,1620
"PBI-020","E6","Intervention what-if comparison","As a board member, I can compare intervention options.","As a board member, I can view trade-offs side by side.","Should","apps/integration-service",900,1380,2100
"PBI-021","E7","KPI dashboard metrics","As an analyst, I can view alignment and latency KPIs.","As an analyst, I can view outcome KPIs for reports.","Must","apps/ai-analytics-service",720,1080,1620
"PBI-022","E7","Drift and fairness monitoring","As governance staff, I can monitor model drift.","As governance staff, I can monitor fairness alerts.","Should","apps/ai-analytics-service",720,1080,1740
"PBI-023","E7","Recommendation reason records","As governance staff, I can see why a recommendation was made.","As governance staff, I can review explanation records later.","Should","apps/ai-analytics-service",600,900,1440
"PBI-024","E7","Cohort insight analysis","As an analytics lead, I can analyze by condition and severity.","As an analytics lead, I can analyze by role group.","Could","apps/ai-analytics-service",720,1140,1860
"PBI-025","E8","Role-based notifications","As a clinician, I receive important event alerts.","As an HR manager, I receive important event alerts for my role.","Should","apps/notification-service",480,720,1140
"PBI-026","E8","Pending task inbox","As a user, I can view pending review tasks.","As a user, I can view pending approval and follow-up tasks.","Should","apps/notification-service + apps/web-frontend",600,900,1380
"PBI-027","E8","Critical case escalation rules","As governance staff, I can define escalation rules.","As governance staff, I can apply rules to unresolved critical cases.","Could","apps/notification-service",600,960,1500
"PBI-028","E9","Stable API contract versions","As an integrator, I can use versioned API contracts.","As an integrator, I can use matching schema files.","Must","packages/api-contracts + apps/gateway-service",600,900,1380
"PBI-029","E9","Reliable case events","As operations staff, I can publish domain events.","As operations staff, I can consume domain events reliably.","Must","apps/integration-service",720,1080,1620
"PBI-030","E9","External system connectors","As the platform, I can sync with EHR systems.","As the platform, I can sync with HRIS systems.","Should","apps/integration-service",960,1500,2340
"PBI-031","E10","Role home pages","As a user, I can access my role page after login.","As a user, I see employee, clinician, HR, or calibration views.","Must","apps/web-frontend",600,900,1320
"PBI-032","E10","Employee screening flow UI","As an employee, I can complete screening step by step.","As an employee, I can review answers before submit.","Must","apps/web-frontend",720,1080,1560
"PBI-033","E10","Clinician review workspace UI","As a clinician, I can review case evidence in one page.","As a clinician, I can submit labels from the same page.","Must","apps/web-frontend",720,1080,1560
"PBI-034","E10","HR planning dashboard UI","As HR, I can manage accommodation plans.","As HR, I can manage role-fit plans from one dashboard.","Must","apps/web-frontend",720,1080,1620
"PBI-035","E10","Leadership analytics workspace UI","As leadership, I can view KPI dashboards.","As leadership, I can view calibration dashboards in one place.","Should","apps/web-frontend",720,1140,1740
"PBI-036","E11","Access audit trail","As compliance staff, I can log every data access event.","As compliance staff, I can capture user, purpose, time, and case ID.","Must","Cross-cutting",720,1080,1680
"PBI-037","E11","Encryption and key lifecycle","As security staff, I can encrypt data in transit and at rest.","As security staff, I can rotate encryption keys on schedule.","Must","infrastructure + Cross-cutting",840,1260,1920
"PBI-038","E11","Data retention and deletion rules","As a privacy officer, I can set retention rules by data type.","As a privacy officer, I can enforce deletion rules by data type.","Should","Cross-cutting",600,900,1500
"PBI-039","E12","CI quality and security checks","As DevOps, I can run tests and contract checks in CI.","As DevOps, I can run security scans in CI gates.","Must","infrastructure + all apps",840,1260,1860
"PBI-040","E12","Reliability monitoring stack","As SRE, I can monitor traces, errors, and latency.","As SRE, I can monitor backups and recovery readiness.","Must","infrastructure + all apps",960,1440,2160
"E7","run cohort analysis by condition, severity, role, and intervention type","As analytics lead, I can run cohort analysis by condition, severity, role, and intervention type."
